"ssizes" "SWcrit" "KScrit" "LLcrit" "ADcrit" "DPcrit" "JBcrit" "CVMcrit" "CSQcrit"
"1" 10 0.844638264629115 0.409647922802403 0.262462746162696 0.686037921786048 6.5436184331917 2.53702528899604 0.119237451906219 1.6
"2" 15 0.880969155312116 0.337533386198397 0.219066575161025 0.716164916490596 6.44446275908769 3.34057178576947 0.122423534731895 2.8
"3" 20 0.904069007699645 0.294873971200904 0.192719579896911 0.723605656372957 6.37807392206159 3.83340360886219 0.123650953448223 4.4
"4" 25 0.919893175755573 0.26467729389924 0.172825527583671 0.723979494355564 6.35570768170291 4.12167169116884 0.122827869651236 4.92
"5" 30 0.929918115169069 0.242524561222227 0.159092692001979 0.737799357755774 6.40794377630638 4.45617379938457 0.124633901243259 5.66666666666667
"6" 40 0.944631643547344 0.209738369188048 0.138363735477217 0.737232183281968 6.31713199228641 4.72328231213574 0.124156321120168 6.5
"7" 50 0.954176993876187 0.188456312023664 0.124162533295955 0.738086334368255 6.34217570811983 4.93580489313095 0.124579285220071 7.36
"8" 100 0.974612962444624 0.134303749289801 0.0890721686000317 0.751953765962277 6.20500761188249 5.40819730816996 0.126132028533862 10.46
"9" 200 0.986299288166526 0.0951795004980104 0.0633521183497732 0.749946930217271 6.10011148323883 5.66328022300033 0.125727266759522 14.2
"10" 300 0.990500557713235 0.0778227649848213 0.0519615057120083 0.755590904700503 6.13128119649849 5.79944113512011 0.12655858423648 16.7666666666667
"11" 400 0.992714311555873 0.0674524874853013 0.0450480574626906 0.754831981752511 6.06994698714117 5.83700408190493 0.126773110473074 18.8005
"12" 500 0.994083183534372 0.0604878255943853 0.0402226592652129 0.747491666056058 6.0664754737308 5.84028289416674 0.125080646578176 20.62
"13" 1000 0.996912656330943 0.0428620011359642 0.028523960688475 0.740585316302775 5.97140321641369 5.87974007102121 0.12393051116532 26.722
"14" 1500 0.997884602743524 0.0348868469283139 0.0233409796634416 0.751873737955122 6.03996129920488 5.98290700128152 0.126535292183308 31.264
"15" 2000 0.998389824004371 0.030365552660721 0.0202335102492457 0.750876176829274 6.00343634362201 5.94746322023952 0.126137797941656 34.72
