"sim" "n" "r" "k1"
"UNIF(0,1)" 10 1000 87
"UNIF(0,1)" 10 1000 87
"UNIF(0,1)" 10 1000 81
"UNIF(0,1)" 10 1000 101
"UNIF(0,1)" 10 1000 87
"UNIF(0,1)" 10 1000 80
"UNIF(0,1)" 10 1000 85
"UNIF(0,1)" 10 1000 78
"UNIF(0,1)" 10 1000 85
"UNIF(0,1)" 10 1000 70
"UNIF(0,1)" 15 1000 128
"UNIF(0,1)" 15 1000 133
"UNIF(0,1)" 15 1000 144
"UNIF(0,1)" 15 1000 129
"UNIF(0,1)" 15 1000 120
"UNIF(0,1)" 15 1000 143
"UNIF(0,1)" 15 1000 139
"UNIF(0,1)" 15 1000 137
"UNIF(0,1)" 15 1000 133
"UNIF(0,1)" 15 1000 119
"UNIF(0,1)" 20 1000 207
"UNIF(0,1)" 20 1000 212
"UNIF(0,1)" 20 1000 190
"UNIF(0,1)" 20 1000 193
"UNIF(0,1)" 20 1000 195
"UNIF(0,1)" 20 1000 204
"UNIF(0,1)" 20 1000 191
"UNIF(0,1)" 20 1000 211
"UNIF(0,1)" 20 1000 174
"UNIF(0,1)" 20 1000 208
"UNIF(0,1)" 25 1000 278
"UNIF(0,1)" 25 1000 260
"UNIF(0,1)" 25 1000 283
"UNIF(0,1)" 25 1000 300
"UNIF(0,1)" 25 1000 269
"UNIF(0,1)" 25 1000 258
"UNIF(0,1)" 25 1000 265
"UNIF(0,1)" 25 1000 259
"UNIF(0,1)" 25 1000 280
"UNIF(0,1)" 25 1000 313
"UNIF(0,1)" 30 1000 398
"UNIF(0,1)" 30 1000 411
"UNIF(0,1)" 30 1000 398
"UNIF(0,1)" 30 1000 370
"UNIF(0,1)" 30 1000 375
"UNIF(0,1)" 30 1000 377
"UNIF(0,1)" 30 1000 393
"UNIF(0,1)" 30 1000 379
"UNIF(0,1)" 30 1000 360
"UNIF(0,1)" 30 1000 383
"UNIF(0,1)" 40 1000 621
"UNIF(0,1)" 40 1000 600
"UNIF(0,1)" 40 1000 588
"UNIF(0,1)" 40 1000 580
"UNIF(0,1)" 40 1000 565
"UNIF(0,1)" 40 1000 576
"UNIF(0,1)" 40 1000 589
"UNIF(0,1)" 40 1000 567
"UNIF(0,1)" 40 1000 597
"UNIF(0,1)" 40 1000 602
"UNIF(0,1)" 50 1000 756
"UNIF(0,1)" 50 1000 742
"UNIF(0,1)" 50 1000 733
"UNIF(0,1)" 50 1000 761
"UNIF(0,1)" 50 1000 774
"UNIF(0,1)" 50 1000 750
"UNIF(0,1)" 50 1000 747
"UNIF(0,1)" 50 1000 752
"UNIF(0,1)" 50 1000 736
"UNIF(0,1)" 50 1000 735
"UNIF(0,1)" 100 1000 998
"UNIF(0,1)" 100 1000 995
"UNIF(0,1)" 100 1000 996
"UNIF(0,1)" 100 1000 1000
"UNIF(0,1)" 100 1000 996
"UNIF(0,1)" 100 1000 999
"UNIF(0,1)" 100 1000 996
"UNIF(0,1)" 100 1000 997
"UNIF(0,1)" 100 1000 995
"UNIF(0,1)" 100 1000 998
"UNIF(0,1)" 200 1000 1000
"UNIF(0,1)" 200 1000 1000
"UNIF(0,1)" 200 1000 1000
"UNIF(0,1)" 200 1000 1000
"UNIF(0,1)" 200 1000 1000
"UNIF(0,1)" 200 1000 1000
"UNIF(0,1)" 200 1000 1000
"UNIF(0,1)" 200 1000 1000
"UNIF(0,1)" 200 1000 1000
"UNIF(0,1)" 200 1000 1000
"UNIF(0,1)" 300 1000 1000
"UNIF(0,1)" 300 1000 1000
"UNIF(0,1)" 300 1000 1000
"UNIF(0,1)" 300 1000 1000
"UNIF(0,1)" 300 1000 1000
"UNIF(0,1)" 300 1000 1000
"UNIF(0,1)" 300 1000 1000
