"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"1" 10 0.0853 0.0428 0.0748 0.0822 0.1021 0.1006 0.08 2e-04
"2" 20 0.1204 0.0458 0.0864 0.1054 0.1463 0.154 0.0978 0.0147
"3" 30 0.1535 0.0493 0.1012 0.1295 0.1762 0.1923 0.1162 0.0252
"4" 50 0.193 0.0519 0.1083 0.1611 0.2224 0.2604 0.1403 0.0365
"5" 100 0.2971 0.0589 0.1527 0.2367 0.3292 0.3866 0.2023 0.046
"6" 300 0.6355 0.1193 0.3384 0.534 0.6479 0.7278 0.4726 0.0898
"7" 500 0.8327 0.1861 0.5215 0.7567 0.8441 0.887 0.6928 0.1305
"8" 1000 0.9854 0.3745 0.8351 0.9652 0.9863 0.992 0.9414 0.2359
"9" 2000 1 0.7388 0.9912 0.9998 1 1 0.9992 0.4571
