"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"1" 10 0.1513 0.0392 0.1386 0.155 0.1754 0.1754 0.1533 8e-04
"2" 20 0.2675 0.0593 0.2286 0.2822 0.2851 0.3049 0.2735 0.0762
"3" 30 0.3593 0.0831 0.298 0.3738 0.357 0.3955 0.3658 0.1054
"4" 50 0.5193 0.1322 0.4243 0.5499 0.4862 0.553 0.5419 0.1862
"5" 100 0.7966 0.2635 0.7027 0.8267 0.7127 0.7893 0.8224 0.3332
"6" 300 0.9975 0.7934 0.9929 0.9991 0.9883 0.9946 0.9991 0.7428
"7" 500 1 0.9724 1 1 0.9996 0.9998 1 0.9245
"8" 1000 1 1 1 1 1 1 1 0.9988
"9" 2000 1 1 1 1 1 1 1 1
