"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"1" 10 0.0493 0.0505 0.0493 0.0437 0.0434 0.0482 0.0442 0.0493
"2" 20 0.0475 0.048 0.0465 0.0387 0.0354 0.0464 0.04 0.0475
"3" 30 0.0485 0.0535 0.0512 0.0369 0.0307 0.0511 0.0378 0.0485
"4" 50 0.0546 0.0568 0.0582 0.0439 0.0321 0.0571 0.0412 0.0546
"5" 100 0.0838 0.0653 0.077 0.0612 0.0357 0.0708 0.0549 0.0838
"6" 300 0.2637 0.115 0.1595 0.1645 0.1263 0.1307 0.1664 0.2637
"7" 500 0.513 0.1698 0.2781 0.2964 0.3343 0.2153 0.3609 0.513
"8" 1000 0.9279 0.3298 0.5882 0.5908 0.8177 0.4407 0.867 0.9279
"9" 2000 0.9999 0.6551 0.9348 0.912 0.9976 0.8121 0.9993 0.9999
