"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"1" 10 0.1381 0.0714 0.1188 0.1365 0.1111 0.1157 0.1329 0
"2" 20 0.2558 0.0965 0.217 0.2634 0.1448 0.1615 0.2559 0.0279
"3" 30 0.3874 0.1275 0.3183 0.4082 0.181 0.2093 0.3886 0.0832
"4" 50 0.6149 0.189 0.5134 0.6502 0.2957 0.3651 0.6248 0.1966
"5" 100 0.9285 0.3382 0.8463 0.9425 0.681 0.7476 0.9294 0.4663
"6" 300 0.9999 0.8235 0.9995 1 0.9994 0.9997 1 0.9129
"7" 500 1 0.9789 1 1 1 1 1 0.9885
"8" 1000 1 1 1 1 1 1 1 1
"9" 2000 1 1 1 1 1 1 1 1
