"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"1" 10 0.0615 0.0469 0.0566 0.0607 0.0698 0.0699 0.0607 1e-04
"2" 20 0.0762 0.0453 0.0614 0.071 0.0906 0.0939 0.0679 0.0095
"3" 30 0.0888 0.0496 0.0641 0.0748 0.101 0.1089 0.0692 0.0184
"4" 50 0.1023 0.0459 0.0597 0.0787 0.1243 0.1421 0.0721 0.0215
"5" 100 0.1412 0.046 0.0743 0.1044 0.1627 0.1942 0.0893 0.032
"6" 300 0.2643 0.0574 0.1021 0.1644 0.2941 0.355 0.1368 0.0458
"7" 500 0.3733 0.0703 0.1313 0.2244 0.4131 0.481 0.1832 0.0535
"8" 1000 0.5977 0.0895 0.2227 0.4016 0.6521 0.7076 0.3331 0.0684
"9" 2000 0.8677 0.1534 0.4178 0.697 0.903 0.924 0.6093 0.0993
