"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"1" 10 0.0375 0.0485 0.041 0.0391 0.0249 0.0249 0.0407 0
"2" 20 0.0338 0.0492 0.0423 0.0392 0.0187 0.0082 0.0379 0.0065
"3" 30 0.041 0.05 0.0449 0.0455 0.0246 0.0027 0.0442 0.0114
"4" 50 0.0494 0.0474 0.0445 0.055 0.0608 7e-04 0.0526 0.0215
"5" 100 0.1261 0.0484 0.062 0.0953 0.196 0.0033 0.0761 0.0346
"6" 300 0.7884 0.0619 0.126 0.3297 0.819 0.4198 0.2137 0.1436
"7" 500 0.9962 0.0814 0.2128 0.6284 0.9855 0.8961 0.3918 0.271
"8" 1000 1 0.1325 0.5046 0.978 1 0.9999 0.7928 0.5226
"9" 2000 1 0.3793 0.9081 1 1 1 0.9966 0.8356
