"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"1" 10 0.092 0.0858 0.0671 0.0847 0.0226 0.0199 0.0783 1e-04
"2" 20 0.2014 0.1074 0.1009 0.1708 0.1335 0.0025 0.1371 0.016
"3" 30 0.3858 0.1239 0.1445 0.3022 0.3636 9e-04 0.233 0.0303
"4" 50 0.7447 0.1618 0.2579 0.5817 0.78 0.0127 0.439 0.1164
"5" 100 0.997 0.2562 0.5797 0.9523 0.9965 0.7272 0.8411 0.7015
"6" 300 1 0.7045 0.9974 1 1 1 1 0.9999
"7" 500 1 0.9331 1 1 1 1 1 1
"8" 1000 1 0.9996 1 1 1 1 1 1
"9" 2000 1 1 1 1 1 1 1 1
