"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"1" 10 0.1461 0.0641 0.1092 0.1344 0.1361 0.1404 0.1279 5e-04
"2" 20 0.2944 0.0876 0.1886 0.2519 0.2578 0.2714 0.2276 0.0239
"3" 30 0.4335 0.106 0.2646 0.3672 0.3561 0.379 0.3274 0.0689
"4" 50 0.6577 0.1447 0.3862 0.5608 0.5464 0.5853 0.5025 0.1432
"5" 100 0.9297 0.2372 0.6787 0.8586 0.8531 0.8798 0.8065 0.3148
"6" 300 0.9999 0.622 0.9912 0.9998 0.9999 0.9999 0.9991 0.7858
"7" 500 1 0.8624 1 1 1 1 1 0.9512
"8" 1000 1 0.9992 1 1 1 1 1 0.9999
"9" 2000 1 1 1 1 1 1 1 1
